idx,Major,Degree,NumSalariesReported,Avg,Max,Min,StDev,25th,Median,75th,Semester,Year,College
0,Ag Business,Bachelor,13,49038.0,65000.0,40000.0,+/- 9658,40000.0,45000.0,58750.0,Fall,2015,College of Agriculture & Life Sciences
1,Ag Communications and Journalism,Bachelor,3,53333.0,80000.0,30000.0,+/- 25166,45000.0,50000.0,80000.0,Fall,2015,College of Agriculture & Life Sciences
2,Ag Economics,Bachelor,12,44111.0,55000.0,30000.0,+/- 7336,40000.0,45000.0,50000.0,Fall,2015,College of Agriculture & Life Sciences
3,Ag Economics,Master,2,60000.0,65000.0,55000.0,+/- 7071,60000.0,60000.0,65000.0,Fall,2015,College of Agriculture & Life Sciences
4,Ag Leadership and Development,Bachelor,12,47083.0,72000.0,30000.0,+/- 10833,40000.0,46000.0,51000.0,Fall,2015,College of Agriculture & Life Sciences
5,Ag Leadership and Development,Master,4,71688.0,90000.0,45000.0,+/- 19593,70000.0,75875.0,90000.0,Fall,2015,College of Agriculture & Life Sciences
6,Ag Life Sciences,Bachelor,1,49666.0,49666.0,49666.0,+/- 0,49666.0,49666.0,49666.0,Fall,2015,College of Agriculture & Life Sciences
7,Ag Science,Bachelor,3,58333.0,75000.0,42000.0,+/- 16503,54000.0,58000.0,75000.0,Fall,2015,College of Agriculture & Life Sciences
8,Ag Systems Management,Bachelor,1,55000.0,55000.0,55000.0,+/- 0,55000.0,55000.0,55000.0,Fall,2015,College of Agriculture & Life Sciences
9,Animal Science,Bachelor,14,40821.0,100000.0,22000.0,+/- 19749,30000.0,35500.0,46750.0,Fall,2015,College of Agriculture & Life Sciences
10,Animal Science,Doctorate,2,65000.0,80000.0,50000.0,+/- 21213,65000.0,65000.0,80000.0,Fall,2015,College of Agriculture & Life Sciences
11,Animal Science,Master,2,49500.0,55000.0,44000.0,+/- 7778,49500.0,49500.0,55000.0,Fall,2015,College of Agriculture & Life Sciences
12,Biochemistry,Bachelor,3,38333.0,55000.0,25000.0,+/- 15275,32500.0,35000.0,55000.0,Fall,2015,College of Agriculture & Life Sciences
13,Bioenvironmental Science,Bachelor,7,43143.0,66000.0,28000.0,+/- 12469,36750.0,42000.0,54000.0,Fall,2015,College of Agriculture & Life Sciences
14,Biological & Ag Engineering,Bachelor,2,72333.0,95000.0,49666.0,+/- 32056,72333.0,72333.0,95000.0,Fall,2015,College of Agriculture & Life Sciences
15,Ecological Restoration,Bachelor,1,40000.0,40000.0,40000.0,+/- 0,40000.0,40000.0,40000.0,Fall,2015,College of Agriculture & Life Sciences
16,Environmental Studies,Bachelor,1,36000.0,36000.0,36000.0,+/- 0,36000.0,36000.0,36000.0,Fall,2015,College of Agriculture & Life Sciences
17,Forestry,Bachelor,2,44000.0,45000.0,43000.0,+/- 1414,44000.0,44000.0,45000.0,Fall,2015,College of Agriculture & Life Sciences
18,Horticulture,Bachelor,3,28000.0,30000.0,24000.0,+/- 3464,28500.0,30000.0,30000.0,Fall,2015,College of Agriculture & Life Sciences
19,Nutritional Sciences,Bachelor,5,42800.0,60000.0,23000.0,+/- 15579,35000.0,50000.0,57750.0,Fall,2015,College of Agriculture & Life Sciences
20,Plant & Soil Sciences,Bachelor,3,34587.0,40000.0,30000.0,+/- 5051,32820.0,33760.0,40000.0,Fall,2015,College of Agriculture & Life Sciences
21,Poultry Science,Bachelor,4,46375.0,52000.0,42500.0,+/- 4498,43000.0,45500.0,52000.0,Fall,2015,College of Agriculture & Life Sciences
22,Rangeland Ecology & Management,Bachelor,2,47500.0,55000.0,40000.0,+/- 10607,47500.0,47500.0,55000.0,Fall,2015,College of Agriculture & Life Sciences
23,"Recreation, Park & Tourism Sci.",Bachelor,10,33800.0,60000.0,24000.0,+/- 11282,28500.0,30000.0,40500.0,Fall,2015,College of Agriculture & Life Sciences
24,Renewable Natural Resources,Bachelor,1,50000.0,50000.0,50000.0,+/- 0,50000.0,50000.0,50000.0,Fall,2015,College of Agriculture & Life Sciences
25,Turfgrass Science,Bachelor,3,45667.0,60000.0,32000.0,+/- 14012,41750.0,45000.0,60000.0,Fall,2015,College of Agriculture & Life Sciences
26,Univ. Studies - Leadership Studies,Bachelor,10,42267.0,53000.0,22000.0,+/- 9995,40000.0,44000.0,50000.0,Fall,2015,College of Agriculture & Life Sciences
27,Univ. Studies-Agriculture and Life Sciences,Bachelor,1,41000.0,41000.0,41000.0,+/- 0,41000.0,41000.0,41000.0,Fall,2015,College of Agriculture & Life Sciences
28,Wildlife Fisheries Science,Bachelor,4,35070.0,50000.0,23000.0,+/- 11700,29282.0,33641.0,50000.0,Fall,2015,College of Agriculture & Life Sciences
29,Construction Science,Bachelor,36,59931.0,97000.0,40000.0,+/- 8940,56000.0,60000.0,62000.0,Fall,2015,College of Architecture
30,Environmental Design,Bachelor,1,38000.0,38000.0,38000.0,+/- 0,38000.0,38000.0,38000.0,Fall,2015,College of Architecture
31,Land Development,Master,4,60000.0,77000.0,45000.0,+/- 14000,53000.0,59000.0,77000.0,Fall,2015,College of Architecture
32,"Univ. Studies-Global Arts, Plan, Design & Const.",Bachelor,2,79000.0,96000.0,62000.0,+/- 24042,79000.0,79000.0,96000.0,Fall,2015,College of Architecture
33,Urban & Regional Planning,Master,3,47167.0,54500.0,42000.0,+/- 6526,44250.0,45000.0,54500.0,Fall,2015,College of Architecture
34,Urban & Regional Science,Bachelor,1,50000.0,50000.0,50000.0,+/- 0,50000.0,50000.0,50000.0,Fall,2015,College of Architecture
35,Visualization Science,Bachelor,5,44500.0,58000.0,35500.0,+/- 9274,39250.0,40000.0,56000.0,Fall,2015,College of Architecture
36,All Elementary Education,Bachelor,7,57257.0,98000.0,48000.0,+/- 18024,50000.0,51000.0,64100.0,Fall,2015,College of Education & Human Development
37,All Secondary Education,Bachelor,1,50000.0,50000.0,50000.0,+/- 0,50000.0,50000.0,50000.0,Fall,2015,College of Education & Human Development
38,Education Administration,Master,2,52000.0,55000.0,49000.0,+/- 4243,52000.0,52000.0,55000.0,Fall,2015,College of Education & Human Development
39,Educational Curriculum & Instruct.,Master,2,64500.0,80000.0,49000.0,+/- 21920,64500.0,64500.0,80000.0,Fall,2015,College of Education & Human Development
40,Health,Bachelor,11,37697.0,49666.0,25000.0,+/- 6181,35000.0,38000.0,40750.0,Fall,2015,College of Education & Human Development
41,Interdisciplinary Studies,Bachelor,26,45606.0,52000.0,23000.0,+/- 6940,41750.0,48250.0,50750.0,Fall,2015,College of Education & Human Development
42,IS - Human Resource Development,Bachelor,7,53286.0,70000.0,34000.0,+/- 13793,44750.0,50000.0,70000.0,Fall,2015,College of Education & Human Development
43,IS - Technology Management,Bachelor,4,44916.0,58000.0,27000.0,+/- 13099,45000.0,47333.0,58000.0,Fall,2015,College of Education & Human Development
44,Kinesiology,Bachelor,6,43667.0,80000.0,20000.0,+/- 20412,36000.0,40000.0,65000.0,Fall,2015,College of Education & Human Development
45,Special Education,Bachelor,1,44000.0,44000.0,44000.0,+/- 0,44000.0,44000.0,44000.0,Fall,2015,College of Education & Human Development
46,Sports Management,Bachelor,6,34617.0,45000.0,20000.0,+/- 8962,31350.0,36000.0,42500.0,Fall,2015,College of Education & Human Development
47,Univ. Studies - Dance,Bachelor,1,30000.0,30000.0,30000.0,+/- 0,30000.0,30000.0,30000.0,Fall,2015,College of Education & Human Development
48,Aerospace Engineering,Bachelor,10,66917.0,99000.0,49666.0,+/- 13493,59000.0,65500.0,72500.0,Fall,2015,College of Engineering
49,Aerospace Engineering,Doctorate,2,80350.0,85700.0,75000.0,+/- 7566,80350.0,80350.0,85700.0,Fall,2015,College of Engineering
50,Aerospace Engineering,Master,3,77500.0,90000.0,60000.0,+/- 15612,76875.0,82500.0,90000.0,Fall,2015,College of Engineering
51,Biomedical Engineering,Bachelor,3,64000.0,75000.0,57000.0,+/- 9644,59250.0,60000.0,75000.0,Fall,2015,College of Engineering
52,Biomedical Engineering,Doctorate,2,90000.0,90000.0,90000.0,+/- 0,90000.0,90000.0,90000.0,Fall,2015,College of Engineering
53,Chemical Engineering,Bachelor,24,83165.0,120000.0,57000.0,+/- 15938,75000.0,79000.0,98000.0,Fall,2015,College of Engineering
54,Civil Engineering,Bachelor,43,57050.0,65000.0,45000.0,+/- 4724,55000.0,57000.0,60375.0,Fall,2015,College of Engineering
55,Civil Engineering,Doctorate,5,58600.0,72000.0,43000.0,+/- 14467,48500.0,65000.0,71500.0,Fall,2015,College of Engineering
56,Civil Engineering,Master,17,65106.0,100000.0,55000.0,+/- 12821,59200.0,60000.0,62000.0,Fall,2015,College of Engineering
57,Computer Engineering - CPSC,Bachelor,17,63260.0,87000.0,36000.0,+/- 11620,60500.0,65000.0,69750.0,Fall,2015,College of Engineering
58,Computer Engineering - CPSC,Master,14,93657.0,120000.0,65000.0,+/- 16159,87500.0,94000.0,105000.0,Fall,2015,College of Engineering
59,Computer Engineering - ELEN,Bachelor,7,62732.0,85000.0,45000.0,+/- 13396,55781.25,60000.0,75250.0,Fall,2015,College of Engineering
60,Computer Engineering - ELEN,Master,5,95560.0,110000.0,87300.0,+/- 8986,90625.0,92500.0,107000.0,Fall,2015,College of Engineering
61,Computer Science,Bachelor,21,73419.0,105000.0,48000.0,+/- 13593,66500.0,70000.0,80000.0,Fall,2015,College of Engineering
62,Computer Science,Master,7,109429.0,145000.0,67000.0,+/- 23266,106750.0,115000.0,122500.0,Fall,2015,College of Engineering
63,Electrical Engineering,Bachelor,37,68833.0,100000.0,40000.0,+/- 13241,63125.0,68000.0,80000.0,Fall,2015,College of Engineering
