"College of Agriculture and Life Sciences","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Ag Business","Bachelor","13","$49,038.00","$65,000.00","$40,000.00","+/- 9658","$40,000.00","$45,000.00","$58,750.00"
"Ag Communications and Journalism","Bachelor","3","$53,333.00","$80,000.00","$30,000.00","+/- 25166","$45,000.00","$50,000.00","$80,000.00"
"Ag Economics","Bachelor","12","$44,111.00","$55,000.00","$30,000.00","+/- 7336","$40,000.00","$45,000.00","$50,000.00"
"Ag Economics","Master","2","$60,000.00","$65,000.00","$55,000.00","+/- 7071","$60,000.00","$60,000.00","$65,000.00"
"Ag Leadership and Development","Bachelor","12","$47,083.00","$72,000.00","$30,000.00","+/- 10833","$40,000.00","$46,000.00","$51,000.00"
"Ag Leadership and Development","Master","4","$71,688.00","$90,000.00","$45,000.00","+/- 19593","$70,000.00","$75,875.00","$90,000.00"
"Ag Life Sciences","Bachelor","1","$49,666.00","$49,666.00","$49,666.00","+/- 0","$49,666.00","$49,666.00","$49,666.00"
"Ag Science","Bachelor","3","$58,333.00","$75,000.00","$42,000.00","+/- 16503","$54,000.00","$58,000.00","$75,000.00"
"Ag Systems Management","Bachelor","1","$55,000.00","$55,000.00","$55,000.00","+/- 0","$55,000.00","$55,000.00","$55,000.00"
"Animal Science","Bachelor","14","$40,821.00","$100,000.00","$22,000.00","+/- 19749","$30,000.00","$35,500.00","$46,750.00"
"Animal Science","Doctorate","2","$65,000.00","$80,000.00","$50,000.00","+/- 21213","$65,000.00","$65,000.00","$80,000.00"
"Animal Science","Master","2","$49,500.00","$55,000.00","$44,000.00","+/- 7778","$49,500.00","$49,500.00","$55,000.00"
"Biochemistry","Bachelor","3","$38,333.00","$55,000.00","$25,000.00","+/- 15275","$32,500.00","$35,000.00","$55,000.00"
"Bioenvironmental Science","Bachelor","7","$43,143.00","$66,000.00","$28,000.00","+/- 12469","$36,750.00","$42,000.00","$54,000.00"
"Biological & Ag Engineering","Bachelor","2","$72,333.00","$95,000.00","$49,666.00","+/- 32056","$72,333.00","$72,333.00","$95,000.00"
"Ecological Restoration","Bachelor","1","$40,000.00","$40,000.00","$40,000.00","+/- 0","$40,000.00","$40,000.00","$40,000.00"
"Environmental Studies","Bachelor","1","$36,000.00","$36,000.00","$36,000.00","+/- 0","$36,000.00","$36,000.00","$36,000.00"
"Forestry","Bachelor","2","$44,000.00","$45,000.00","$43,000.00","+/- 1414","$44,000.00","$44,000.00","$45,000.00"
"Horticulture","Bachelor","3","$28,000.00","$30,000.00","$24,000.00","+/- 3464","$28,500.00","$30,000.00","$30,000.00"
"Nutritional Sciences","Bachelor","5","$42,800.00","$60,000.00","$23,000.00","+/- 15579","$35,000.00","$50,000.00","$57,750.00"
"Plant & Soil Sciences","Bachelor","3","$34,587.00","$40,000.00","$30,000.00","+/- 5051","$32,820.00","$33,760.00","$40,000.00"
"Poultry Science","Bachelor","4","$46,375.00","$52,000.00","$42,500.00","+/- 4498","$43,000.00","$45,500.00","$52,000.00"
"Rangeland Ecology & Management","Bachelor","2","$47,500.00","$55,000.00","$40,000.00","+/- 10607","$47,500.00","$47,500.00","$55,000.00"
"Recreation, Park & Tourism Sci.","Bachelor","10","$33,800.00","$60,000.00","$24,000.00","+/- 11282","$28,500.00","$30,000.00","$40,500.00"
"Renewable Natural Resources","Bachelor","1","$50,000.00","$50,000.00","$50,000.00","+/- 0","$50,000.00","$50,000.00","$50,000.00"
"Turfgrass Science","Bachelor","3","$45,667.00","$60,000.00","$32,000.00","+/- 14012","$41,750.00","$45,000.00","$60,000.00"
"Univ. Studies - Leadership Studies","Bachelor","10","$42,267.00","$53,000.00","$22,000.00","+/- 9995","$40,000.00","$44,000.00","$50,000.00"
"Univ. Studies-Agriculture and Life Sciences","Bachelor","1","$41,000.00","$41,000.00","$41,000.00","+/- 0","$41,000.00","$41,000.00","$41,000.00"
"Wildlife Fisheries Science","Bachelor","4","$35,070.00","$50,000.00","$23,000.00","+/- 11700","$29,282.00","$33,641.00","$50,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","121","$43,635.00","$100,000.00","$22,000.00","+/- 13632","$33,190.00","$42,000.00","$50,000.00"
"Master","","8","$63,219.00","$90,000.00","$44,000.00","+/- 16674","$55,000.00","$60,000.00","$81,750.00"
"Doctorate","","2","$65,000.00","$80,000.00","$50,000.00","+/- 21213","$65,000.00","$65,000.00","$80,000.00"
"College of Architecture","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Construction Science","Bachelor","36","$59,931.00","$97,000.00","$40,000.00","+/- 8940","$56,000.00","$60,000.00","$62,000.00"
"Environmental Design","Bachelor","1","$38,000.00","$38,000.00","$38,000.00","+/- 0","$38,000.00","$38,000.00","$38,000.00"
"Land Development","Master","4","$60,000.00","$77,000.00","$45,000.00","+/- 14000","$53,000.00","$59,000.00","$77,000.00"
"Univ. Studies-Global Arts, Plan, Design & Const.","Bachelor","2","$79,000.00","$96,000.00","$62,000.00","+/- 24042","$79,000.00","$79,000.00","$96,000.00"
"Urban & Regional Planning","Master","3","$47,167.00","$54,500.00","$42,000.00","+/- 6526","$44,250.00","$45,000.00","$54,500.00"
"Urban & Regional Science","Bachelor","1","$50,000.00","$50,000.00","$50,000.00","+/- 0","$50,000.00","$50,000.00","$50,000.00"
"Visualization Science","Bachelor","5","$44,500.00","$58,000.00","$35,500.00","+/- 9274","$39,250.00","$40,000.00","$56,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","45","$58,356.00","$97,000.00","$35,500.00","+/- 11780","$53,500.00","$60,000.00","$62,000.00"
"Master","","7","$54,500.00","$77,000.00","$42,000.00","+/- 12619","$45,000.00","$53,000.00","$68,000.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Education & Human Development","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"All Elementary Education","Bachelor","7","$57,257.00","$98,000.00","$48,000.00","+/- 18024","$50,000.00","$51,000.00","$64,100.00"
"All Secondary Education","Bachelor","1","$50,000.00","$50,000.00","$50,000.00","+/- 0","$50,000.00","$50,000.00","$50,000.00"
"Education Administration","Master","2","$52,000.00","$55,000.00","$49,000.00","+/- 4243","$52,000.00","$52,000.00","$55,000.00"
"Educational Curriculum & Instruct.","Master","2","$64,500.00","$80,000.00","$49,000.00","+/- 21920","$64,500.00","$64,500.00","$80,000.00"
"Health","Bachelor","11","$37,697.00","$49,666.00","$25,000.00","+/- 6181","$35,000.00","$38,000.00","$40,750.00"
"Interdisciplinary Studies","Bachelor","26","$45,606.00","$52,000.00","$23,000.00","+/- 6940","$41,750.00","$48,250.00","$50,750.00"
"IS - Human Resource Development","Bachelor","7","$53,286.00","$70,000.00","$34,000.00","+/- 13793","$44,750.00","$50,000.00","$70,000.00"
"IS - Technology Management","Bachelor","4","$44,916.00","$58,000.00","$27,000.00","+/- 13099","$45,000.00","$47,333.00","$58,000.00"
"Kinesiology","Bachelor","6","$43,667.00","$80,000.00","$20,000.00","+/- 20412","$36,000.00","$40,000.00","$65,000.00"
"Special Education","Bachelor","1","$44,000.00","$44,000.00","$44,000.00","+/- 0","$44,000.00","$44,000.00","$44,000.00"
"Sports Management","Bachelor","6","$34,617.00","$45,000.00","$20,000.00","+/- 8962","$31,350.00","$36,000.00","$42,500.00"
"Univ. Studies - Dance","Bachelor","1","$30,000.00","$30,000.00","$30,000.00","+/- 0","$30,000.00","$30,000.00","$30,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","70","$44,965.00","$98,000.00","$20,000.00","+/- 12461","$39,500.00","$45,000.00","$50,050.00"
