"College of Agriculture and Life Sciences","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Ag Business","Bachelor","26","$49,961.00","$95,000.00","$27,000.00","+/- 14369","$41,500.00","$49,666.00","$56,500.00"
"Ag Communications and Journalism","Bachelor","13","$39,515.00","$55,000.00","$22,360.00","+/- 11087","$31,250.00","$40,000.00","$49,666.00"
"Ag Economics","Bachelor","22","$49,341.00","$78,000.00","$30,000.00","+/- 12690","$40,500.00","$47,500.00","$57,000.00"
"Ag Education","Doctorate","2","$77,000.00","$94,000.00","$60,000.00","+/- 24042","$77,000.00","$77,000.00","$94,000.00"
"Ag Leadership and Development","Bachelor","43","$46,416.00","$120,000.00","$22,880.00","+/- 18475","$36,750.00","$43,000.00","$50,000.00"
"Ag Leadership and Development","Master","2","$61,000.00","$75,000.00","$47,000.00","+/- 19799","$61,000.00","$61,000.00","$75,000.00"
"Ag Life Sciences","Bachelor","2","$46,500.00","$48,000.00","$45,000.00","+/- 2121","$46,500.00","$46,500.00","$48,000.00"
"Ag Science","Bachelor","2","$43,750.00","$45,500.00","$42,000.00","+/- 2475","$43,750.00","$43,750.00","$45,500.00"
"Ag Systems Management","Bachelor","12","$53,528.00","$82,000.00","$38,000.00","+/- 14103","$45,000.00","$49,833.00","$55,000.00"
"Agronomy","Bachelor","2","$49,750.00","$62,000.00","$37,500.00","+/- 17324","$49,750.00","$49,750.00","$62,000.00"
"Animal Science","Bachelor","18","$46,963.00","$75,000.00","$32,000.00","+/- 10722","$40,000.00","$49,666.00","$50,000.00"
"Animal Science","Doctorate","2","$80,500.00","$81,000.00","$80,000.00","+/- 707","$80,500.00","$80,500.00","$81,000.00"
"Bioenvironmental Science","Bachelor","4","$43,083.00","$53,000.00","$20,000.00","+/- 15469","$49,666.00","$49,666.00","$53,000.00"
"Biological & Ag Engineering","Bachelor","7","$55,243.00","$65,000.00","$45,000.00","+/- 7963","$49,500.00","$56,700.00","$65,000.00"
"Food Science & Technology","Bachelor","8","$46,470.00","$65,000.00","$35,000.00","+/- 11998","$38,880.00","$42,440.00","$63,000.00"
