"College of Agriculture & Life Sciences","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Ag Communications & Journalism","Bachelor","8","$36,250.00","$45,000.00","$23,000.00","+/- 7206","$33,000.00","$38,500.00","$42,000.00"
"Ag Leadership & Development","Bachelor","27","$55,864.00","$300,000.00","$24,000.00","+/- 49977","$41,500.00","$48,000.00","$52,750.00"
"Agribusiness","Bachelor","13","$51,192.00","$70,000.00","$40,000.00","+/- 8845","$47,375.00","$50,000.00","$56,000.00"
"Agricultural Economics","Bachelor","34","$49,176.00","$80,000.00","$22,000.00","+/- 12300","$41,500.00","$48,000.00","$56,350.00"
"Agricultural Science","Bachelor","3","$56,000.00","$61,000.00","$50,000.00","+/- 5568","$55,250.00","$57,000.00","$61,000.00"
"Agricultural Systems Mgmt","Bachelor","14","$48,841.00","$66,000.00","$36,000.00","+/- 8349","$44,000.00","$48,750.00","$54,500.00"
"Agronomy","Doctorate","2","$64,000.00","$78,000.00","$50,000.00","+/- 19799","$64,000.00","$64,000.00","$78,000.00"
"Animal Science","Bachelor","6","$45,379.00","$60,000.00","$35,000.00","+/- 10045","$38,000.00","$45,500.00","$55,638.00"
"Animal Science","Master","2","$52,500.00","$55,000.00","$50,000.00","+/- 3536","$52,500.00","$52,500.00","$55,000.00"
"Biochemistry","Bachelor","1","$40,000.00","$40,000.00","$40,000.00","+/- 0","$40,000.00","$40,000.00","$40,000.00"
"Bioenvironmental Sciences","Bachelor","4","$42,250.00","$51,000.00","$35,000.00","+/- 8461","$35,000.00","$41,500.00","$51,000.00"
"Biological & Agricultural Engr","Bachelor","6","$57,750.00","$75,000.00","$44,000.00","+/- 10553","$53,750.00","$58,750.00","$67,500.00"
"Entomology","Bachelor","2","$47,000.00","$52,000.00","$42,000.00","+/- 7071","$47,000.00","$47,000.00","$52,000.00"
"Environmental Studies","Bachelor","1","$45,000.00","$45,000.00","$45,000.00","+/- 0","$45,000.00","$45,000.00","$45,000.00"
"Food Science & Technology","Bachelor","4","$45,250.00","$63,000.00","$30,000.00","+/- 14408","$38,000.00","$44,000.00","$63,000.00"
"Forensic Investigative Science","Bachelor","3","$48,051.00","$51,276.00","$41,600.00","+/- 5586","$48,857.00","$51,276.00","$51,276.00"
"Genetics","Bachelor","3","$44,333.00","$60,000.00","$33,000.00","+/- 14012","$38,250.00","$40,000.00","$60,000.00"
