"College of Agriculture & Life Sciences","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Ag Communications & Journalism","Bachelor","1","$40,000.00","$40,000.00","$40,000.00","+/- 0","$40,000.00","$40,000.00","$40,000.00"
"Ag Leadership & Development","Bachelor","5","$56,000.00","$80,000.00","$31,000.00","+/- 19506","$47,250.00","$54,000.00","$77,500.00"
"Agribusiness","Bachelor","1","$29,000.00","$29,000.00","$29,000.00","+/- 0","$29,000.00","$29,000.00","$29,000.00"
"Agricultural Economics","Bachelor","4","$40,000.00","$60,000.00","$30,000.00","+/- 14142","$30,000.00","$35,000.00","$60,000.00"
"Agricultural Economics","Doctorate","2","$92,500.00","$95,000.00","$90,000.00","+/- 3536","$92,500.00","$92,500.00","$95,000.00"
"Agricultural Science","Bachelor","1","$56,000.00","$56,000.00","$56,000.00","+/- 0","$56,000.00","$56,000.00","$56,000.00"
"Agricultural Systems Mgmt","Bachelor","3","$41,167.00","$56,500.00","$27,000.00","+/- 14785","$36,750.00","$40,000.00","$56,500.00"
"Animal Science","Bachelor","8","$49,910.00","$100,000.00","$25,000.00","+/- 27348","$28,000.00","$45,000.00","$80,000.00"
"Bioenvironmental Sciences","Bachelor","1","$40,000.00","$40,000.00","$40,000.00","+/- 0","$40,000.00","$40,000.00","$40,000.00"
"Biological & Agricultural Engr","Bachelor","1","$55,000.00","$55,000.00","$55,000.00","+/- 0","$55,000.00","$55,000.00","$55,000.00"
"Environmental Studies","Bachelor","1","$32,000.00","$32,000.00","$32,000.00","+/- 0","$32,000.00","$32,000.00","$32,000.00"
"Food Science & Technology","Bachelor","1","$35,000.00","$35,000.00","$35,000.00","+/- 0","$35,000.00","$35,000.00","$35,000.00"
"Horticulture","Bachelor","2","$43,750.00","$50,000.00","$37,500.00","+/- 8839","$43,750.00","$43,750.00","$50,000.00"
"Physiology of Reproduction","Master","2","$44,500.00","$51,000.00","$38,000.00","+/- 9192","$44,500.00","$44,500.00","$51,000.00"
"Poultry Science","Bachelor","2","$49,500.00","$51,000.00","$48,000.00","+/- 2121","$49,500.00","$49,500.00","$51,000.00"
"Recreation, Park & Tourism Sc","Bachelor","1","$35,000.00","$35,000.00","$35,000.00","+/- 0","$35,000.00","$35,000.00","$35,000.00"
"Turfgrass Science","Bachelor","1","$45,000.00","$45,000.00","$45,000.00","+/- 0","$45,000.00","$45,000.00","$45,000.00"
"Wildlife & Fisheries Sciences","Bachelor","2","$40,000.00","$42,000.00","$38,000.00","+/- 2828","$40,000.00","$40,000.00","$42,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","35","$45,608.00","$100,000.00","$25,000.00","+/- 16981","$34,250.00","$40,000.00","$54,250.00"
"Master","","2","$44,500.00","$51,000.00","$38,000.00","+/- 9192","$44,500.00","$44,500.00","$51,000.00"
"Doctorate","","2","$92,500.00","$95,000.00","$90,000.00","+/- 3536","$92,500.00","$92,500.00","$95,000.00"
"College of Architecture","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Construction Science","Bachelor","39","$62,951.00","$100,000.00","$51,276.00","+/- 7702","$60,000.00","$62,000.00","$64,250.00"
"University Studies","Bachelor","18","$54,111.00","$70,000.00","$31,000.00","+/- 11245","$49,000.00","$55,000.00","$64,500.00"
"Urban & Regional Planning","Bachelor","2","$49,000.00","$52,000.00","$46,000.00","+/- 4243","$49,000.00","$49,000.00","$52,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","59","$59,781.00","$100,000.00","$31,000.00","+/- 9848","$55,000.00","$60,000.00","$64,000.00"
"Master","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Education & Human Development","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Community Health","Bachelor","4","$45,500.00","$50,000.00","$37,000.00","+/- 6137","$45,000.00","$47,500.00","$50,000.00"
"Counseling Psychology","Doctorate","5","$53,600.00","$65,000.00","$45,000.00","+/- 8503","$48,500.00","$50,000.00","$63,750.00"
"Curriculum & Instruction","Doctorate","2","$73,000.00","$116,000.00","$30,000.00","+/- 60811","$73,000.00","$73,000.00","$116,000.00"
"Curriculum & Instruction","Master","29","$49,934.00","$65,000.00","$39,000.00","+/- 6420","$45,000.00","$52,000.00","$54,375.00"
"Educational Administration","Doctorate","2","$90,000.00","$90,000.00","$90,000.00","+/- 0","$90,000.00","$90,000.00","$90,000.00"
"Educational Psychology","Doctorate","2","$90,000.00","$120,000.00","$60,000.00","+/- 42426","$90,000.00","$90,000.00","$120,000.00"
"Educational Psychology","Master","3","$46,333.00","$50,000.00","$44,000.00","+/- 3215","$44,750.00","$45,000.00","$50,000.00"
"Educational Technology","Master","4","$49,750.00","$65,000.00","$31,000.00","+/- 14080","$50,000.00","$51,500.00","$65,000.00"
"Health","Bachelor","1","$29,000.00","$29,000.00","$29,000.00","+/- 0","$29,000.00","$29,000.00","$29,000.00"
"Health Education","Master","3","$55,667.00","$58,000.00","$54,000.00","+/- 2082","$54,750.00","$55,000.00","$58,000.00"
"Human Resource Development","Bachelor","15","$46,403.00","$62,500.00","$34,000.00","+/- 7476","$40,750.00","$45,000.00","$51,957.00"
"Interdisciplinary Studies","Bachelor","1","$38,500.00","$38,500.00","$38,500.00","+/- 0","$38,500.00","$38,500.00","$38,500.00"
"Kinesiology","Bachelor","4","$44,250.00","$55,000.00","$24,000.00","+/- 13817","$48,000.00","$49,000.00","$55,000.00"
"Kinesiology","Doctorate","2","$69,500.00","$85,000.00","$54,000.00","+/- 21920","$69,500.00","$69,500.00","$85,000.00"
"School Psychology","Doctorate","2","$60,500.00","$65,000.00","$56,000.00","+/- 6364","$60,500.00","$60,500.00","$65,000.00"
"Sport Management","Bachelor","14","$40,821.00","$70,000.00","$24,000.00","+/- 14387","$30,500.00","$36,250.00","$56,500.00"
"Sport Management","Master","4","$55,500.00","$67,000.00","$40,000.00","+/- 12819","$50,000.00","$57,500.00","$67,000.00"
"Technology Management","Bachelor","4","$60,875.00","$85,000.00","$47,500.00","+/- 16923","$51,000.00","$55,500.00","$85,000.00"
"University Studies","Bachelor","7","$44,071.00","$54,500.00","$25,000.00","+/- 10330","$40,000.00","$45,000.00","$54,125.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","50","$44,921.00","$85,000.00","$24,000.00","+/- 12162","$37,750.00","$45,000.00","$52,638.00"
"Master","","43","$50,583.00","$67,000.00","$31,000.00","+/- 7738","$45,000.00","$52,000.00","$54,692.50"
"Doctorate","","15","$68,933.00","$120,000.00","$30,000.00","+/- 25960","$53,000.00","$60,000.00","$90,000.00"
"College of Engineering","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Biomedical Engineering","Bachelor","1","$80,000.00","$80,000.00","$80,000.00","+/- 0","$80,000.00","$80,000.00","$80,000.00"
"Biomedical Engineering","Doctorate","2","$47,700.00","$48,400.00","$47,000.00","+/- 990","$47,700.00","$47,700.00","$48,400.00"
"Chemical Engineering","Master","2","$81,250.00","$90,000.00","$72,500.00","+/- 12374","$81,250.00","$81,250.00","$90,000.00"
